Date,Open,High,Low,Close,Adj Close,Volume
2022-02-09,90.599998,93.949997,90.199997,93.330002,86.749481,1579360
2022-02-10,93.110001,93.650002,92.440002,92.769997,86.228958,1206489
2022-02-11,91.589996,95.730003,90.970001,95.300003,88.580582,2746188
2022-02-14,92.419998,93.110001,90.790001,92.589996,86.061653,2148590
2022-02-15,92.430000,94.989998,91.940002,94.930000,88.236664,1474671
2022-02-16,94.919998,96.019997,93.339996,94.050003,87.418716,1496583
2022-02-17,94.730003,97.230003,94.570000,95.970001,89.203339,1694067
2022-02-18,96.360001,97.599998,94.949997,95.379997,88.654930,1551295
2022-02-21,96.610001,96.930000,91.489998,92.290001,85.782806,1644574
2022-02-22,89.629997,92.309998,89.440002,90.930000,84.518700,2078619
2022-02-23,91.000000,93.820000,90.949997,91.620003,85.160049,1489901
2022-02-24,87.250000,88.870003,84.150002,84.989998,78.997513,4257916
2022-02-25,86.379997,88.139999,84.129997,88.019997,81.813873,2682262
2022-02-28,85.040001,86.559998,83.220001,86.559998,80.456818,2667291
2022-03-01,86.160004,87.500000,82.070000,82.489998,76.673782,2383041
2022-03-02,80.330002,82.070000,79.309998,80.559998,74.879860,2638366
2022-03-03,80.599998,81.010002,76.879997,77.510002,72.044914,2480550
2022-03-04,75.599998,76.480003,72.489998,73.099998,67.945854,3819567
2022-03-07,69.660004,72.870003,67.580002,70.519997,65.547768,4055547
2022-03-08,69.300003,73.199997,68.800003,71.050003,66.040398,3481540
2022-03-09,74.010002,76.250000,72.449997,76.199997,70.827278,3559897
2022-03-10,76.260002,76.739998,70.220001,72.000000,66.923416,4329263
2022-03-11,72.919998,75.459999,72.000000,72.419998,67.313797,2873113
2022-03-14,74.639999,76.370003,73.980003,74.430000,69.182083,2514991
2022-03-15,73.629997,75.779999,71.699997,75.320000,70.009331,2601157
2022-03-16,77.540001,79.279999,76.180000,78.400002,72.872162,3188590
2022-03-17,79.339996,79.400002,75.510002,76.669998,71.264137,2207957
2022-03-18,76.199997,76.660004,74.750000,75.900002,70.548431,4736344
2022-03-21,76.239998,77.970001,75.739998,77.440002,71.979851,1686583
2022-03-22,78.349998,79.760002,77.349998,79.059998,73.485626,1732509
2022-03-23,80.339996,80.800003,77.849998,78.260002,72.742035,1942435
2022-03-24,78.309998,79.010002,77.320000,78.470001,72.937225,1529917
2022-03-25,78.000000,78.459999,77.199997,77.889999,72.398125,1514673
2022-03-28,78.099998,79.949997,78.040001,78.239998,72.723442,1109020
2022-03-29,79.830002,83.470001,79.180000,82.629997,76.803909,1967947
2022-03-30,81.699997,82.160004,80.120003,80.260002,74.601021,1492559
2022-03-31,81.300003,81.709999,78.410004,78.599998,73.058060,1468453
2022-04-01,78.510002,80.129997,78.339996,79.000000,73.429855,1064970
2022-04-04,79.599998,80.169998,77.970001,79.849998,74.219925,1100335
2022-04-05,79.739998,80.620003,77.790001,78.180000,72.667679,1523273
2022-04-06,77.879997,78.059998,74.849998,76.300003,70.920235,1651158
2022-04-07,76.540001,77.919998,75.669998,75.669998,70.334648,1345977
2022-04-08,77.199997,77.730003,76.260002,77.000000,71.570877,1113844
2022-04-11,76.099998,76.930000,75.110001,75.989998,70.632088,1246230
2022-04-12,74.849998,76.970001,74.279999,76.089996,70.725037,1364957
2022-04-13,76.000000,76.300003,75.040001,76.250000,70.873756,1062598
2022-04-14,76.360001,77.160004,75.820000,76.239998,70.864456,1418145
2022-04-19,76.459999,78.250000,75.889999,78.019997,72.518951,1477517
2022-04-20,78.540001,80.190002,78.089996,79.199997,73.615753,1100786
2022-04-21,79.199997,79.199997,79.199997,79.199997,73.615753,0
2022-04-22,79.199997,79.199997,79.199997,79.199997,73.615753,0
2022-04-25,76.699997,78.309998,76.500000,77.470001,72.007736,1594771
2022-04-26,78.559998,79.010002,76.190002,76.269997,70.892342,1785578
2022-04-27,76.269997,76.269997,76.269997,76.269997,70.892342,0
2022-04-28,77.500000,79.080002,76.699997,77.800003,72.314468,1185773
2022-04-29,78.580002,78.970001,77.769997,78.510002,72.974411,1337650
2022-05-02,77.739998,78.449997,74.360001,77.639999,72.165749,1840187
2022-05-03,78.209999,79.980003,77.870003,79.980003,74.340767,1725794
2022-05-04,80.269997,80.699997,79.470001,79.470001,73.866722,1633643
2022-05-05,81.650002,83.000000,77.769997,78.029999,72.528252,1964186
2022-05-06,78.029999,78.029999,78.029999,78.029999,72.528252,0
2022-05-09,79.199997,79.870003,77.620003,77.620003,72.147163,1868370
2022-05-10,78.989998,79.730003,78.099998,78.209999,72.695557,1990542
2022-05-11,79.019997,82.730003,78.599998,82.260002,76.460007,3703499
2022-05-12,75.599998,76.120003,74.260002,75.779999,75.779999,2884199
2022-05-13,75.779999,75.779999,75.779999,75.779999,75.779999,0
2022-05-16,77.430000,78.339996,76.639999,77.660004,77.660004,1135401
2022-05-17,78.650002,79.500000,78.059998,78.620003,78.620003,1445814
2022-05-18,78.970001,79.610001,78.019997,78.019997,78.019997,1265657
2022-05-19,76.599998,77.839996,75.580002,77.839996,77.839996,1689928
2022-05-20,78.610001,79.180000,77.239998,77.449997,77.449997,1558143
2022-05-23,78.650002,78.830002,77.059998,78.239998,78.239998,1008391
2022-05-24,77.339996,78.540001,77.290001,77.790001,77.790001,1028206
2022-05-25,77.790001,77.790001,77.790001,77.790001,77.790001,0
2022-05-26,79.190002,80.430000,78.570000,80.250000,80.250000,1068788
2022-05-27,80.250000,80.250000,80.250000,80.250000,80.250000,0
2022-05-30,80.250000,80.250000,80.250000,80.250000,80.250000,0
2022-05-31,81.320000,81.639999,80.169998,80.629997,80.629997,1807592
2022-06-01,81.529999,83.180000,81.250000,82.330002,82.330002,1608890
2022-06-02,82.330002,82.330002,82.330002,82.330002,82.330002,0
2022-06-03,82.330002,82.330002,82.330002,82.330002,82.330002,0
2022-06-06,83.610001,84.050003,82.660004,83.580002,83.580002,731088
2022-06-07,82.910004,83.360001,81.839996,82.589996,82.589996,944549
2022-06-08,82.680000,84.000000,82.620003,83.500000,83.500000,1226472
2022-06-09,83.410004,83.459999,81.800003,82.660004,82.660004,1141726
2022-06-10,81.959999,82.260002,80.190002,80.540001,80.540001,1775652
2022-06-13,78.779999,79.610001,77.360001,77.970001,77.970001,1978341
2022-06-14,78.800003,78.800003,76.919998,77.610001,77.610001,1265598
2022-06-15,78.879997,79.889999,78.510002,79.540001,79.540001,1659645
2022-06-16,79.449997,79.459999,76.540001,77.150002,77.150002,1558157
2022-06-17,77.669998,78.169998,76.349998,77.599998,77.599998,3402960
2022-06-20,78.000000,78.800003,77.209999,78.720001,78.720001,822033
2022-06-21,79.129997,80.529999,78.919998,79.660004,79.660004,969834
2022-06-22,78.120003,78.839996,77.010002,78.160004,78.160004,1380068
2022-06-23,78.050003,78.449997,74.900002,74.900002,74.900002,1828040
2022-06-24,75.269997,75.330002,72.570000,74.940002,74.940002,1725586
2022-06-27,75.610001,77.290001,75.209999,75.730003,75.730003,1156996
2022-06-28,76.629997,77.739998,76.339996,76.480003,76.480003,1016528
2022-06-29,75.000000,75.629997,73.930000,74.519997,74.519997,1436429
2022-06-30,73.220001,73.779999,70.570000,73.459999,73.459999,2801023
2022-07-01,72.860001,74.050003,72.150002,73.760002,73.760002,1375303
2022-07-04,74.470001,74.570000,72.279999,72.790001,72.790001,899823
2022-07-05,73.309998,73.540001,71.220001,71.500000,71.500000,2140020
2022-07-06,72.250000,72.900002,71.309998,71.370003,71.370003,1429700
2022-07-07,72.550003,75.370003,72.419998,74.779999,74.779999,1872773
2022-07-08,74.150002,76.690002,73.599998,76.040001,76.040001,1784342
2022-07-11,74.150002,75.290001,73.610001,73.790001,73.790001,1212743
2022-07-12,73.790001,73.790001,73.790001,73.790001,73.790001,0
2022-07-13,73.720001,73.720001,72.010002,72.459999,72.459999,1425644
2022-07-14,72.989998,74.129997,71.349998,72.220001,72.220001,1556778
2022-07-15,72.529999,75.120003,72.050003,75.120003,75.120003,1766983
2022-07-18,75.300003,76.540001,74.870003,76.000000,76.000000,966822
2022-07-19,75.449997,79.379997,75.059998,78.129997,78.129997,1382168
2022-07-20,78.129997,78.599998,76.040001,77.529999,77.529999,1193454
2022-07-21,77.209999,78.300003,75.930000,76.889999,76.889999,1072416
2022-07-22,76.709999,77.580002,76.290001,77.099998,77.099998,939952
